name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Latest Collection | Comfortable Stylish Solid Wedge Heel Slip-On Bellies & Ballerina for Womens & Girls Black Belt Belly,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/51H+t4OB2UL._AC_UL320_.jpg,https://www.amazon.in/Collection-Comfortable-Stylish-Ballerina-Numeric_6/dp/B09Y61BWX5/ref=sr_1_835?qid=1679211838&s=shoes&sr=1-835,4.2,4,₹499,₹599
commander Womens Hs111 Ballerinas Wedges Heel for Women Ballet Flats,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71FciIxt7mL._AC_UL320_.jpg,https://www.amazon.in/Commander-Womens-Ballet-Flats-7-HS111/dp/B07NPSPWLP/ref=sr_1_836?qid=1679211838&s=shoes&sr=1-836,4.1,7,₹599,₹999
FASHIMO Women's Loafers Bellies MS12,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61IHKsEzyaL._AC_UL320_.jpg,https://www.amazon.in/FASHIMO-Womens-Loafers-Bellies-MS12-Sky-38/dp/B08F82T997/ref=sr_1_837?qid=1679211838&s=shoes&sr=1-837,3.4,23,₹689,₹999
WMK Fashionable Ballet Flats lace up RAIN Shoes Bellies for Women,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71PpgxUK2US._AC_UL320_.jpg,https://www.amazon.in/WMK-Fashionable-Ballet-Bellies-Numeric_8/dp/B08HVL29FC/ref=sr_1_838?qid=1679211838&s=shoes&sr=1-838,3.4,98,₹377,₹999
Mochi Women Synthetic Ballerinas,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61Kf6zrHy0L._AC_UL320_.jpg,https://www.amazon.in/Mochi-Women-Gold-Synthetic-Ballerinas-31-125/dp/B0BST1Q8F6/ref=sr_1_839?qid=1679211838&s=shoes&sr=1-839,,,"₹1,883","₹2,690"
Liberty Women's ELENA-133 Casual Shoes,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61rYMq0Dr8L._AC_UL320_.jpg,https://www.amazon.in/Liberty-Elena-133-S-Blue-Casual-Ballet/dp/B0BF9SFWPG/ref=sr_1_840?qid=1679211838&s=shoes&sr=1-840,,,,₹549
Metro Women's Leather Ballerina (31-4926),women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71RtzQ7oxCL._AC_UL320_.jpg,https://www.amazon.in/Metro-Ballerina-Leather-Platform-31-4926/dp/B09MKZJCYR/ref=sr_1_841?qid=1679211838&s=shoes&sr=1-841,4.0,27,"₹1,374","₹2,290"
Liberty Gliders Black Ladies Casual Ballerina,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71PUtX7TRZL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Gliders-Ladies-Casual-Ballerina/dp/B0847NRN94/ref=sr_1_842?qid=1679211838&s=shoes&sr=1-842,,,,₹549
"Women's Ballet Flats | Faux Leather, Fancy Bow, Comfortable and Stylish, Slip-on Mule Shoes | for Daily Casual Wear & Form...",women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71krG+Iq5UL._AC_UL320_.jpg,https://www.amazon.in/Leather-Comfortable-Stylish-Occasions-Numeric_6/dp/B09Y18NRG6/ref=sr_1_843?qid=1679211838&s=shoes&sr=1-843,5.0,1,₹399,₹799
Right Steps Women's Bellies,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71EmjA-26vL._AC_UL320_.jpg,https://www.amazon.in/Right-Steps-Womens-Brown-Bellies/dp/B08S43HRHS/ref=sr_1_844?qid=1679211838&s=shoes&sr=1-844,3.9,11,₹699,₹999
MYRA Women's Casual Textured Ballerinas | Women Bellies Shoes | Latest Comfortable Bellies for Women - MS1467C,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71nXr+HPI4L._AC_UL320_.jpg,https://www.amazon.in/MYRA-Textured-Ballerinas-Bellies-Comfortable/dp/B0B8YRPK1K/ref=sr_1_845?qid=1679211838&s=shoes&sr=1-845,3.5,2,₹749,₹999
tresmode Women Casual Flat Ballerinas,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/31W3IzpwrmL._AC_UL320_.jpg,https://www.amazon.in/tresmode-219-GRASSO-Beige-Women-Ballerina/dp/B09KNQ7799/ref=sr_1_846?qid=1679211838&s=shoes&sr=1-846,4.5,2,"₹2,400","₹3,600"
WomensBerry Fashionable Bellies for Women,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61DRTZfXDWS._AC_UL320_.jpg,https://www.amazon.in/WomensBerry-Fashionable-Bellies-Maroon-Numeric_6/dp/B0999TYBWY/ref=sr_1_847?qid=1679211838&s=shoes&sr=1-847,,,₹515,₹999
WalkTrendy Women's Ballet Flat (wtwb542_Black_40),women's shoes,Ballerinas,https://m.media-amazon.com/images/I/51lfci1lcXL._AC_UL320_.jpg,https://www.amazon.in/Walktrendy-Womens-Ballet-Flat-wtwb542_Black_40/dp/B09GHXTFZK/ref=sr_1_848?qid=1679211838&s=shoes&sr=1-848,,,₹416,₹499
Planet Wear Girl Kids Antique Golden SuperStar With Bow Ballerina Euro Size Bellies for Years to Kid,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/31BGq3WyoTL._AC_UL320_.jpg,https://www.amazon.in/Planet-Wear-ANT-SST-33-1/dp/B09MZ1QW65/ref=sr_1_849?qid=1679211838&s=shoes&sr=1-849,2.0,2,₹499,₹999
Timberwood Women's Knitted Fabric Athleisure Stylish Fashionable Casual Knitting Flats Ballet/Bellies,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/81Acm1-hdzL._AC_UL320_.jpg,https://www.amazon.in/Timberwood-Knitted-Athleisure-Fashionable-Knitting/dp/B0BTD7BNWL/ref=sr_1_850?qid=1679211838&s=shoes&sr=1-850,,,₹647,"₹1,299"
Liberty Women FLORAC-1E N.Blue Sneaker,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/712Bn6Lb9VL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Womens-Florac-1e-Ballet-White/dp/B0B287QQ5N/ref=sr_1_851?qid=1679211838&s=shoes&sr=1-851,3.8,8,₹487,₹649
"Elegant feet Fashionable, Soft & Comfortable Daily Use Casual Synthetic Peach Wedges Heels (187)",women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61zL4UwjHRL._AC_UL320_.jpg,https://www.amazon.in/Elegant-feet-Fashionable-Comfortable-Synthetic/dp/B0BTDKDMWS/ref=sr_1_852?qid=1679211838&s=shoes&sr=1-852,,,₹849,"₹1,999"
BATA Womens UTMY Black Ballerina,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/410Ektw9YzL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Black-Loafer-7-5516827/dp/B09MHP14Z9/ref=sr_1_853?qid=1679211838&s=shoes&sr=1-853,3.8,21,,"₹1,066"
FASHIMO Bellies for Women's and Girls 708-P,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61cJXi-4MzL._AC_UL320_.jpg,https://www.amazon.in/FASHIMO-Bellies-Womens-Girls-708-Cherry-39/dp/B08YK64NZP/ref=sr_1_854?qid=1679211838&s=shoes&sr=1-854,3.7,24,₹599,₹999
Planet Wear Girl' s Combo of Black Sunshine with Beads and Black with Cream Grey Sunshine Bow Ballerina Bellies/ 30 Euro S...,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/41wbFC7t+JL._AC_UL320_.jpg,https://www.amazon.in/Planet-Wear-Sunshine-Ballerina-Bellies/dp/B09NH3PHLQ/ref=sr_1_855?qid=1679211838&s=shoes&sr=1-855,,,,₹999
Liberty Womens SPL.Belly Casual Ballet Flats,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/81FVcYFYktL._AC_UL320_.jpg,https://www.amazon.in/Gliders-Liberty-Spl-Belly-Flats-8-8001094100420/dp/B072QBN7YM/ref=sr_1_856?qid=1679211838&s=shoes&sr=1-856,3.7,81,,₹449
AVNCLAN Women's & Girls Block Heel Bellies,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61Ij8P6kVbL._AC_UL320_.jpg,https://www.amazon.in/AVNCLAN-Womens-Girls-Bellies-NP8-Tan-38/dp/B0BC1LF4DF/ref=sr_1_857?qid=1679211838&s=shoes&sr=1-857,3.7,11,₹649,₹999
BATA Comfit Women's Block Heel Ballerina,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71Mq7Xy6QAL._AC_UL320_.jpg,https://www.amazon.in/BATA-Comfit-651-9927-39-Womens-Ballerina/dp/B089Y5TL99/ref=sr_1_858?qid=1679211838&s=shoes&sr=1-858,3.6,36,,"₹1,499"
AlexaStar Women's Modern Ballet Flat Shoes,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/813eX57WyIL._AC_UL320_.jpg,https://www.amazon.in/Alexa-Womens-Red-Modern-Shoes/dp/B087CKHV98/ref=sr_1_859?qid=1679211838&s=shoes&sr=1-859,3.6,349,₹449,₹699
FLITE Womens Fl0703l Ballet Flats,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71hsqfmCdPL._AC_UL320_.jpg,https://www.amazon.in/FLITE-Womens-Ballet-Flats-8-FL0703L_BKBK0008/dp/B07WSRBJR3/ref=sr_1_860?qid=1679211838&s=shoes&sr=1-860,3.7,"1,160",₹475,₹499
Catwalk Womens Patent Glossy Ballerinas Ballet Flat,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/417K56+bCYL._AC_UL320_.jpg,https://www.amazon.in/Catwalk-Womens-Patent-Ballerinas-5703C/dp/B095S9S881/ref=sr_1_861?qid=1679211838&s=shoes&sr=1-861,,,₹999,"₹2,995"
pannie pink Women's Bellies Flats for Office and Regular Basis use,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71RsEPyevPL._AC_UL320_.jpg,https://www.amazon.in/pannie-pink-Bellies-Regular-Numeric_5/dp/B0BTMQF6QW/ref=sr_1_862?qid=1679211838&s=shoes&sr=1-862,5.0,4,₹379,₹799
Mochi Womens Synthetic Ballerinas,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71US4kynwGL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Women-Synthetic-Ballerinas-31-9444-12-39/dp/B08CR1JLZJ/ref=sr_1_863?qid=1679211838&s=shoes&sr=1-863,3.2,14,"₹1,120","₹2,490"
Flomo Women's Synthetic Solid Slip-On Casual Ballerinas,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/51CitOPGjtL._AC_UL320_.jpg,https://www.amazon.in/Flomo-Womens-Synthetic-Casual-Ballerinas/dp/B0BSXHMJ9P/ref=sr_1_864?qid=1679211838&s=shoes&sr=1-864,,,₹849,"₹1,899"
VEILLE Comfortable Bellies for Women's I New Belly Jutti I Belly for Women & Girls,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61cHrjNHGOL._AC_UL320_.jpg,https://www.amazon.in/VEILLE-Comfortable-Bellies-Belly-Jutti/dp/B0BRNKHBBC/ref=sr_1_2161?qid=1679211847&s=shoes&sr=1-2161,,,₹599,₹999
ability footwear Party and wedding stone half inch heel for Women,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61Ww-6+6LhL._AC_UL320_.jpg,https://www.amazon.in/ability-footwear-wedding-heel-numeric_10/dp/B0BQZ5KT17/ref=sr_1_2162?qid=1679211847&s=shoes&sr=1-2162,5.0,1,₹599,"₹1,599"
Bonicci Light Weight Wedge Heel Leather Ballerina Flats for Women with Durable TPR Rubber Sole,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/41w77AzqhzL._AC_UL320_.jpg,https://www.amazon.in/Bonicci-Weight-Leather-Ballerina-Durable/dp/B0BBY2YGF2/ref=sr_1_2163?qid=1679211847&s=shoes&sr=1-2163,,,"₹1,499","₹2,599"
