name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Giraffe 15 litres Yellow Polyster School Bag | Casual Backpack for Boys & Girls, Kid's Backpack",kids' fashion,School Bags,https://m.media-amazon.com/images/I/91+V5yYwznS._AC_UL320_.jpg,https://www.amazon.in/Giraffe-litres-Yellow-Polyster-Backpack/dp/B096YCJ3ND/ref=sr_1_2395?qid=1679220874&s=luggage&sr=1-2395,3.5,9,₹480,"₹1,500"
VOKAN Women Backpack bag 15L Backpack Girls School Bag Student Backpack (Black),kids' fashion,School Bags,https://m.media-amazon.com/images/I/613zSuvPUEL._AC_UL320_.jpg,https://www.amazon.in/VOKAN-Women-Backpack-School-Student/dp/B0BQ8B6JT7/ref=sr_1_2396?qid=1679220874&s=luggage&sr=1-2396,4.5,2,₹899,"₹1,999"
JAISOM Women's Latest Mini Backpacks (Moka),kids' fashion,School Bags,https://m.media-amazon.com/images/I/51sPdK3cfwL._AC_UL320_.jpg,https://www.amazon.in/JAISOM-Womens-Latest-Backpacks-Moka-GNPK/dp/B0BNXN1XZ1/ref=sr_1_2397?qid=1679220874&s=luggage&sr=1-2397,,,₹359,"₹1,699"
"PAGWIN Fashionable Stylish Women Backpack (PPG-033,Grey)",kids' fashion,School Bags,https://m.media-amazon.com/images/I/6180lJFlK5L._AC_UL320_.jpg,https://www.amazon.in/PAGWIN-Stylish-Women-Backpack-MC-0122-BLACK/dp/B08HDLYX7T/ref=sr_1_2398?qid=1679220874&s=luggage&sr=1-2398,3.7,19,₹449,₹499
"QIPS Engine Shaped Metal Pencil Box with Wheels and in-Built Sharpener, Green, New",kids' fashion,School Bags,https://m.media-amazon.com/images/I/61jhrvhbAxL._AC_UL320_.jpg,https://www.amazon.in/QIPS-Engine-Shaped-Sharpener-Green/dp/B08CR44YVL/ref=sr_1_2399?qid=1679220874&s=luggage&sr=1-2399,1.0,2,,₹299
HARIKRUPEX Backpack - Portable Foldable Travel Folding Capacity Mountaineering Outdoor Backpack/Folding Backpack Bag for P...,kids' fashion,School Bags,https://m.media-amazon.com/images/I/41pleEHoWHL._AC_UL320_.jpg,https://www.amazon.in/HARIKRUPEX-Backpack-Mountaineering-Waterproof-Multipurpose/dp/B0868HYR9Y/ref=sr_1_2400?qid=1679220874&s=luggage&sr=1-2400,,,₹395,₹649
"Asera Unicorn Table Pencil Sharpener for Kids - Unicorn Pencil Sharpener, Table Sharpener Machine (Pink)",kids' fashion,School Bags,https://m.media-amazon.com/images/I/51Epl6vS1bS._AC_UL320_.jpg,https://www.amazon.in/AseraLatest-Cutest-Unicorn-Cartoon-Sharpener/dp/B096LXZWJ9/ref=sr_1_2641?qid=1679220877&s=luggage&sr=1-2641,4.8,6,₹369,₹599
ADOWIK Kids School Bag,kids' fashion,School Bags,https://m.media-amazon.com/images/I/61sLcLg3-IL._AC_UL320_.jpg,https://www.amazon.in/ADOWIK%C2%AE-Unicorn-Backpack-Daypack-Schoolbags/dp/B0BTBTJ5MC/ref=sr_1_2642?qid=1679220877&s=luggage&sr=1-2642,5.0,1,₹400,₹699
JETTREAM Geometric Backpack Holographic Luminous Backpacks Reflective Bag Luminesk Irredescent Rucksack (REFLECTIVE kite s...,kids' fashion,School Bags,https://m.media-amazon.com/images/I/61Ukg5ix3RL._AC_UL320_.jpg,https://www.amazon.in/JETTREAM-Holographic-Backpacks-Reflective-Bag/dp/B0BSXK36P9/ref=sr_1_2643?qid=1679220877&s=luggage&sr=1-2643,,,"₹1,499","₹4,999"
Life Today Unisex Casual Polyester 35 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School ...,kids' fashion,School Bags,https://m.media-amazon.com/images/I/812EEPMqVJL._AC_UL320_.jpg,https://www.amazon.in/Life-Today-Polyester-Backpack-Children/dp/B0BSSFQXF7/ref=sr_1_2644?qid=1679220877&s=luggage&sr=1-2644,,,₹699,"₹1,599"
"Kids School Bag Soft Animal minnie with bow Cartoon Backpack Lightweight Bag for 2 to 5 Years Baby/Boys/Girls Preschool, P...",kids' fashion,School Bags,https://m.media-amazon.com/images/I/51171GYcjxL._AC_UL320_.jpg,https://www.amazon.in/Cartoon-Backpack-Lightweight-Preschool-Nursery/dp/B0BS3KFXGR/ref=sr_1_2645?qid=1679220877&s=luggage&sr=1-2645,,,₹174,₹999
