name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Stroller Organizer Bag, Hook & Loop Design Stroller Organizer with Cup Holder, Practical Durable Storing Paper Towel for U...",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/61+KgbIofTL._AC_UL320_.jpg,https://www.amazon.in/Stroller-Organizer-Practical-Durable-Umbrella/dp/B08RRLLX9Y/ref=sr_1_5110?qid=1679220209&s=baby&sr=1-5110,,,"₹2,292","₹4,599"
Umenice Baby Stroller Sun Protection Parasol UPF 50+ UV Protect Pushchair Sun Parasol Pink,toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/31Yg1tUpf9L._AC_UL320_.jpg,https://www.amazon.in/Umenice-Stroller-Protection-Parasol-Pushchair/dp/B08RN4LYP5/ref=sr_1_5111?qid=1679220209&s=baby&sr=1-5111,3.3,157,,"₹6,140"
Bicycle Baby Stroller Umbrella Pram Durable Along with The Length You Need Fit for 2-2.5 cm Handlebar,toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/51owYYpX+BL._AC_UL320_.jpg,https://www.amazon.in/Bicycle-Stroller-Umbrella-Durable-Handlebar/dp/B08RHK6V9M/ref=sr_1_5112?qid=1679220209&s=baby&sr=1-5112,1.0,1,,"₹2,341"
"Nursery Hanging Organizer, Crib Hanging Bag with Large Storage Space,for Storing Baby Diapers, Wipes, Clothes, Pacifiers T...",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/51owYYpX+BL._AC_UL320_.jpg,https://www.amazon.in/Nursery-Hanging-Organizer-Pacifiers-Kettles/dp/B08B866WS9/ref=sr_1_5305?qid=1679220213&s=baby&sr=1-5305,,,"₹5,119","₹10,197"
"Jj Cole Jj Cole, Urban Bundleme, Canopy Style Bunting Bag to Protect Baby from Cold and Winter Weather in Car Seats and St...",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/71Xw25e+u0L._AC_UL320_.jpg,https://www.amazon.in/Cole-Bundleme-Bunting-Protect-Strollers/dp/B07SMLBLSB/ref=sr_1_5569?qid=1679220217&s=baby&sr=1-5569,4.6,213,,"₹8,457"
"JJ Cole Original Bundleme Canopy Style Bunting Bag, Black",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/81SW8uWcxnL._AC_UL320_.jpg,https://www.amazon.in/JJ-Cole-Original-Bundleme-Bunting/dp/B07SJRMJKW/ref=sr_1_5570?qid=1679220217&s=baby&sr=1-5570,4.7,318,,"₹12,135"
"Angzhili Baby Car Seat Head Support Stroller Safety Pillow,Baby Adjustable Toddler Headrest for Car Seat, Banana U-Shape C...",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/51GuAizHQFL._AC_UL320_.jpg,https://www.amazon.in/Angzhili-Stroller-Children-Headrest-Protection/dp/B07SHF5PC3/ref=sr_1_5571?qid=1679220217&s=baby&sr=1-5571,3.9,307,,"₹2,736.25"
petunia pickle bottom Mickey Mouse Stroller Hook Rose Gold One Size,toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/61RC0hefJ0L._AC_UL320_.jpg,https://www.amazon.in/petunia-pickle-bottom-Mickey-Stroller/dp/B07SFJH81W/ref=sr_1_5572?qid=1679220217&s=baby&sr=1-5572,4.8,686,,"₹4,311"
Dream On Me Coast Stroller Rider,toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/710AxIqF4YL._AC_UL320_.jpg,https://www.amazon.in/Dream-Me-Coast-Stroller-Rider/dp/B07SDH646B/ref=sr_1_5573?qid=1679220217&s=baby&sr=1-5573,4.5,"3,692",,"₹31,608"
"Dream On Me, Coast Stroller Rider, Lightweight, One hand easy fold, travel ready, Strudy, Adjustable handles, Soft-ride wh...",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/71vMe3qz2eL._AC_UL320_.jpg,https://www.amazon.in/Dream-Me-Coast-Stroller-Rider/dp/B07S97MWYM/ref=sr_1_5574?qid=1679220217&s=baby&sr=1-5574,4.5,"3,692",,"₹29,835"
GDOOL Sun Shade for Strollers and Car Seats (Black),toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/71lkx34RFaS._AC_UL320_.jpg,https://www.amazon.in/GDOOL-Shade-Strollers-Seats-Black/dp/B07S8KLCC6/ref=sr_1_5575?qid=1679220217&s=baby&sr=1-5575,3.8,124,,"₹4,149"
ESCAPE ME NOT 052019 Car Seat Anti Chest Clip Harness Strap to Stop Children Removing Their Arms No Threading Required,toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/51kkvo+9PcL._AC_UL320_.jpg,https://www.amazon.in/ESCAPE-ME-NOT-052019-Threading/dp/B07S8CXKZ4/ref=sr_1_5576?qid=1679220217&s=baby&sr=1-5576,4.4,934,,
liuliuby Flex CozyMuff - Universal Footmuff with Adjustable Length and Hood - Bunting Bag for Stroller - 2019 New Launch (...,toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/61L4YoMBDmL._AC_UL320_.jpg,https://www.amazon.in/liuliuby-Flex-CozyMuff-Universal-Adjustable/dp/B07S7Y8V73/ref=sr_1_5577?qid=1679220217&s=baby&sr=1-5577,4.5,133,,"₹8,889"
"Waterproof Melange Footmuff for Stroller,3D Cotton Filling Anti-Freeze Stroller Bunting Bag Front Double Zipper for Width ...",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/51OkEKigjpL._AC_UL320_.jpg,https://www.amazon.in/Waterproof-Footmuff-Stroller-Anti-Freeze-Adjustment/dp/B07S618JJK/ref=sr_1_5578?qid=1679220217&s=baby&sr=1-5578,4.6,347,,"₹11,080"
"Gb Pockit Air All Terrain Night Blue, Night Blue, Compact",toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/819NeH3D+TL._AC_UL320_.jpg,https://www.amazon.in/Pockit-Terrain-Night-Blue-Compact/dp/B07S3XK19G/ref=sr_1_5579?qid=1679220217&s=baby&sr=1-5579,4.5,"3,249",,"₹40,303"
Lulyboo Replacement Cover for Bassinet to-Go Infant Travel Bed,toys & baby products,Strollers & Prams,https://m.media-amazon.com/images/I/818KvuiQTWL._AC_UL320_.jpg,https://www.amazon.in/Lulyboo-Replacement-Bassinet-Infant-Travel/dp/B07S1QCT6D/ref=sr_1_5580?qid=1679220217&s=baby&sr=1-5580,4.8,24,,"₹6,612"
