name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
A.D.FRESH Universal Car Food Tray with Clamp Bracket Folding Dining Table Drink Holder Car Pallet Back Seat Water Car Cup ...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/41n2zyYEnyS._AC_UL320_.jpg,https://www.amazon.in/Ad-Fresh-Universal-Bracket-Folding/dp/B094FWLRPW/ref=sr_1_4177?qid=1679221960&s=automotive&sr=1-4177,3.8,16,₹948,"₹1,950"
Ascot Ertiga Car Body Cover Waterproof 2018-2022 Model 3 Layers Custom-Fit All Weather for Indoor & Outdoor Use (ERTIGA Hy...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/61RgSSZq+5L._AC_UL320_.jpg,https://www.amazon.in/Waterproof-2018-2022-Custom-Fit-ERTIGA-ZXI/dp/B0B7X7ZXXP/ref=sr_1_4178?qid=1679221960&s=automotive&sr=1-4178,5.0,1,"₹2,870","₹3,599"
DriveStylish Smart Tyre Inflator for Car & Bike | 150 PSI | 12V | Digital Dispay with Auto Cut Off | LED Light | Multiple ...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/51txYP39SxL._AC_UL320_.jpg,https://www.amazon.in/DriveStylish-Inflator-Digital-Multiple-Warranty/dp/B0BS19KXHK/ref=sr_1_4179?qid=1679221960&s=automotive&sr=1-4179,5.0,3,"₹2,699","₹4,990"
ACLIX? Gold Brick Shaped Premium Car Air Freshner Car Dashboard Accessory For All Cars Interior Decoration and Aromatherapy,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/61jxmdZmIJL._AC_UL320_.jpg,https://www.amazon.in/ACLIX-Dashboard-Accessory-Decoration-Aromatherapy/dp/B0BJFLWCY6/ref=sr_1_4180?qid=1679221960&s=automotive&sr=1-4180,3.3,5,₹557,"₹1,399"
ISEE 360 ® Petrol Meter Sticker for Cars Fuel Lid Exterior Compatible with Swift Wagonr Creta Nexon Baleno Vinyl Die-Cut D...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/31zci8h45yL._AC_UL320_.jpg,https://www.amazon.in/ISEE-360-Sticker-Exterior-Compatible/dp/B09Y8VS39H/ref=sr_1_4181?qid=1679221960&s=automotive&sr=1-4181,,,₹99,₹199
DREAM STORE - Water Resistant - dust Proof - car Body Cover for Tata Safari Dicor car Cover - Water Resistant UV Proof - c...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/61ZgrBvjkEL._AC_UL320_.jpg,https://www.amazon.in/Dream-Store-Tata-Safari-Dicor/dp/B07QPHCT8Z/ref=sr_1_4182?qid=1679221960&s=automotive&sr=1-4182,2.6,2,"₹1,649","₹3,700"
"Auto Addict Car Dicky Sunshade Curtain (Rear Window,Diggy,1 Pc) for Hyundai i20 New (2020-PRESENT)",car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/711uWNuRlYS._AC_UL320_.jpg,https://www.amazon.in/Auto-Addict-Sunshade-Curtain-Hyundai/dp/B098C29DQZ/ref=sr_1_4183?qid=1679221960&s=automotive&sr=1-4183,,,₹499,₹999
CRUFIX® Water Resistant - dust Proof - car Body Cover for Compatible with Hyundai Eon car Cover - Water Resistant UV Proof...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/61JNq1+PB5L._AC_UL320_.jpg,https://www.amazon.in/CRUFIX%C2%AE-Water-Resistant-Compatible-Hyundai/dp/B09P67GQPG/ref=sr_1_4184?qid=1679221960&s=automotive&sr=1-4184,,,"₹1,199","₹4,999"
"Godrej AER Twist, Car Air Freshener - Bright Tangy Delight & Fresh Lush Green (45g)",car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/412c3Zk+-CL._AC_UL320_.jpg,https://www.amazon.in/Godrej-AER-Twist-Car-Freshener/dp/B07TX8HG4G/ref=sr_1_4185?qid=1679221960&s=automotive&sr=1-4185,3.6,8,₹581,₹798
Car Drome Premium Door Cup Holder Rubber Mats Compatible for Kia Sonet | Latest Stylish Sporty Interior Car Accessories | ...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/91wtql0+VKL._AC_UL320_.jpg,https://www.amazon.in/Premium-Compatible-Stylish-Interior-Accessories/dp/B0BQZLGP98/ref=sr_1_4186?qid=1679221960&s=automotive&sr=1-4186,3.0,2,"₹1,249","₹1,499"
