name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
3M IA260166409 Car care car wash Shampoo (1L) & IA260166391 Auto Specialty Shampoo (500 ml),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81Cwm35HS4L._AC_UL320_.jpg,https://www.amazon.in/3M-IA260166409-Shampoo-IA260166391-Specialty/dp/B0BB6D9PT2/ref=sr_1_8002?qid=1679222543&s=automotive&sr=1-8002,,,"₹1,052","₹1,322"
Auto-Ex AC Vent Dashboard Air Vents Compatible/Replacement for Gypsy ( Set of 4 Pieces ),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/4100NX62elL._AC_UL320_.jpg,https://www.amazon.in/Auto-Ex-Dashboard-Compatible-Replacement-Pieces/dp/B0B94HG1XS/ref=sr_1_8003?qid=1679222543&s=automotive&sr=1-8003,,,₹499,"₹1,000"
"MaxShine, High-Pro Da Foam Pads, Red Foam with Black Velcro, Finishing Pad, Used with DA/RO Polisher, Available in 6.2 inch",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/710bD+Uwy1L._AC_UL320_.jpg,https://www.amazon.in/MaxShine-High-Pro-Finishing-Polisher-Available/dp/B0B93RBPT2/ref=sr_1_8004?qid=1679222543&s=automotive&sr=1-8004,,,,
"JP Mfg Mini Folding Washing Machine Portable,Foldable Compact Ultrasonic Small Automatic USB Powered Cleaning Washer for T...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61kFkPjN8uL._AC_UL320_.jpg,https://www.amazon.in/Portable-Foldable-Ultrasonic-Automatic-Cleaning/dp/B0B8XJLYJH/ref=sr_1_8005?qid=1679222543&s=automotive&sr=1-8005,1.0,1,"₹3,999","₹7,999"
Mummas Love Multipurpose Car Sponge Car Cleaning Scratch Free | Duster | Car Cleaning Accessories | Microfiber | Brushes |...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61pZVN63qOL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Cleaning-Scratch-Accessories-Microfiber/dp/B0B8N7GBMH/ref=sr_1_8006?qid=1679222543&s=automotive&sr=1-8006,,,₹175,₹399
XCARE Dashboard Ultimate Shine 400 ML,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71Lm4GK3vHL._AC_UL320_.jpg,https://www.amazon.in/XCARE-Dashboard-Ultimate-Shine-400/dp/B0B8DSVZZJ/ref=sr_1_8007?qid=1679222543&s=automotive&sr=1-8007,5.0,1,₹399,"₹1,099"
ZOOMSTOREA 12V CAR VACCUME Cleaner 4500PA STORNGER Suction Car Vacuum Cleaner USB Rechargeable High Power Wet Dry Mini Vacuum,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61Umdulq2FL._AC_UL320_.jpg,https://www.amazon.in/ZOOMSTOREA-Cleaner-STORNGER-Vacuum-Rechargeable/dp/B0B8812VZR/ref=sr_1_8008?qid=1679222543&s=automotive&sr=1-8008,,,,
"Koch-Chemie Nano Crystal Polish|1Ltr Bottle|Vehicle|Hydrophobic| Glossy|For Cars, Trucks, Motorcycle, RV, and More|Ceramic...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51HDD60CCLL._AC_UL320_.jpg,https://www.amazon.in/Koch-Chemie-Crystal-Hydrophobic-Motorcycle-Maintenance/dp/B0B82VDM55/ref=sr_1_8009?qid=1679222543&s=automotive&sr=1-8009,,,,"₹1,769"
BUY 1 GET 1 FREE CAR POLISH LIQUID,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/31K1B2GeiGL._AC_UL320_.jpg,https://www.amazon.in/BUY-GET-FREE-POLISH-LIQUID/dp/B0B74JD1TV/ref=sr_1_8010?qid=1679222543&s=automotive&sr=1-8010,5.0,2,,
Anti-Scratch Vehicle 10H Ceramic Coating Polish Liquid Glass Paint complete Super Shine Repair Agent Care Hydrophobic Auto...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71jPGI-8sTL._AC_UL320_.jpg,https://www.amazon.in/Anti-Scratch-10H-Hydrophobic-Detailing-Motorcycles/dp/B0B6SYCLJY/ref=sr_1_8011?qid=1679222543&s=automotive&sr=1-8011,,,₹499,"₹1,499"
"DIY Crafts Buffing Polishing Wheels with 3 Colors Polishing Compounds Kit, Including Flannel Cotton Yellow Buffing Wheel (...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61kV-9Mo1JL._AC_UL320_.jpg,https://www.amazon.in/DIY-Crafts-Polishing-Compounds-Including/dp/B0B6FS8F3Z/ref=sr_1_8012?qid=1679222543&s=automotive&sr=1-8012,2.0,1,₹768.90,"₹3,495"
Mysha Microfiber Cloth - 1 Pcs- 40x40 cms - 320 GSM Multi-color High Absorbent All Purpose Microfiber Cleaning Cloth For K...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71Gd40WeZiL._AC_UL320_.jpg,https://www.amazon.in/Mysha-Microfiber-Cloth-Multi-color-Multicolour/dp/B0B5X6MRZW/ref=sr_1_8013?qid=1679222543&s=automotive&sr=1-8013,2.0,2,₹79,₹299
"LF7 Scoop Model Type DJ Speaker Grill Size W(22.5"")*H(46.5"") in 20Gauge With Powder Coating and Acoustic Foam by SHALU CRE...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/91wlt66aGoL._AC_UL320_.jpg,https://www.amazon.in/Speaker-Powder-Coating-Acoustic-Creations/dp/B0B5GT84CV/ref=sr_1_8014?qid=1679222543&s=automotive&sr=1-8014,,,,
RADIONICS 20Pcs 17mm Car Wheel Nut Cover Bolt Cap Removal Tool for VW Audi,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61FiQWExkGL._AC_UL320_.jpg,https://www.amazon.in/RADIONICS-20Pcs-Wheel-Cover-Removal/dp/B0B52DHZ5P/ref=sr_1_8015?qid=1679222543&s=automotive&sr=1-8015,,,₹874,"₹1,312"
"Thrivin Multipurpose Car Wash Sponge and Dry Cleaning Sponge, High Performance Cleaning Sponge",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71ik4APwtDL._AC_UL320_.jpg,https://www.amazon.in/Thrivin-Multipurpose-Sponge-Cleaning-Performance/dp/B0B4SZQF1T/ref=sr_1_8016?qid=1679222543&s=automotive&sr=1-8016,,,₹249,₹499
RADHE Car Wax Drag Nano Fiber Car Duster/Wash Brush Exterior Interior Cleaning Kit 1 Pcs Set (Multi-Color),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71ik4APwtDL._AC_UL320_.jpg,https://www.amazon.in/Duster-Exterior-Interior-Cleaning-Multi-Color/dp/B0BJ722MPK/ref=sr_1_8209?qid=1679222547&s=automotive&sr=1-8209,,,₹349,₹699
Free Chain Cleaning Brush with Motul C1 Chain Clean (150 ml) and Paddock Stand GRoller Small (Bikes < 170 kgs) for Chain C...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71k7px+7+8L._AC_UL320_.jpg,https://www.amazon.in/Chain-Cleaning-Brush-Paddock-Replacement/dp/B079ZX16PV/ref=sr_1_8401?qid=1679222551&s=automotive&sr=1-8401,3.4,4,"₹1,534","₹2,625"
UNIWAX Tyre Shiner and Dresser Cum Cleaner 5kg| A Complete Solution for Long Lasting Shine,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61ULcVLXl6L._AC_UL320_.jpg,https://www.amazon.in/Tyre-Shiner-Dresser-Cum-Cleaner/dp/B079WMNVHM/ref=sr_1_8402?qid=1679222551&s=automotive&sr=1-8402,2.9,4,"₹1,595","₹2,790"
"VRT Multipurpose 2 in 1 Chenille Hand Duster with Microfiber Grip Holding Car Accessories Item for Cleaning & Washing Car,...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51QiNda+CqL._AC_UL320_.jpg,https://www.amazon.in/VRT-Multipurpose-Microfiber-Accessories-Motorcycle/dp/B075YGV99L/ref=sr_1_8403?qid=1679222551&s=automotive&sr=1-8403,3.3,2,₹249,₹499
Guance Car Cigarette Lighter 12 V For Chevrolet Cruze,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41DHjnmOYlL._AC_UL320_.jpg,https://www.amazon.in/Guance-Cigarette-Lighter-Chevrolet-Cruze/dp/B075WYMGPG/ref=sr_1_8404?qid=1679222551&s=automotive&sr=1-8404,5.0,1,₹280,₹499
Euro Diamond Shine 5 x Euro Diamond Shine Car Dashboard / Wax Shiner / Auto Glass Coat and Stain Remover,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51cm1jewmBL._AC_UL320_.jpg,https://www.amazon.in/Euro-Diamond-Shine-Dashboard-Remover/dp/B075T89Z9S/ref=sr_1_8405?qid=1679222551&s=automotive&sr=1-8405,2.0,4,,
Xxtra Armor Micro-Tissue 12 X (23x23cm) Microfibre Towels for Home use,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/8153vzrZ8JL._AC_UL320_.jpg,https://www.amazon.in/xxtra-armor-Xxtra-Armor-Micro-Tissue/dp/B074NRGKW1/ref=sr_1_8406?qid=1679222551&s=automotive&sr=1-8406,5.0,6,,₹249
"KROST Twisted Cup Brush for Removing Rust, Paint, Polishing, Multi-Color",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/415Inz+Q6nL._AC_UL320_.jpg,https://www.amazon.in/Toolscentre-Twisted-Brush-Removing-Polishing/dp/B074M7RVND/ref=sr_1_8407?qid=1679222551&s=automotive&sr=1-8407,3.6,7,₹208,₹399
"Euro Gold Super Stain Remover SR-100 (Pack of 2, 100 ml each)",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81cvM3akkuL._AC_UL320_.jpg,https://www.amazon.in/Euro-Gold-Super-Remover-SR-100/dp/B0749PT4DF/ref=sr_1_8408?qid=1679222551&s=automotive&sr=1-8408,3.6,5,,
